Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,30th percentile,Median,Upper quartile
CR4,Four or More Bedrooms,10,"1,858","1,725","1,750","1,775","2,050"
CR44,Room,0,.,.,.,.,.
CR44,Studio,0,.,.,.,.,.
CR44,One Bedroom,0,.,.,.,.,.
CR44,Two Bedrooms,0,.,.,.,.,.
CR44,Three Bedrooms,0,.,.,.,.,.
CR44,Four or More Bedrooms,0,.,.,.,.,.
CR5,Room,-,..,..,..,..,..
CR5,Studio,-,..,..,..,..,..
CR5,One Bedroom,10,943,838,850,913,"1,070"
CR5,Two Bedrooms,20,"1,237","1,150","1,150","1,250","1,300"
CR5,Three Bedrooms,10,"1,439","1,325","1,400","1,425","1,565"
CR5,Four or More Bedrooms,10,"2,095","1,873","1,895","2,000","2,200"
CR6,Room,0,.,.,.,.,.
CR6,Studio,0,.,.,.,.,.
CR6,One Bedroom,0,.,.,.,.,.
CR6,Two Bedrooms,-,..,..,..,..,..
CR6,Three Bedrooms,0,.,.,.,.,.
CR6,Four or More Bedrooms,0,.,.,.,.,.
CR7,Room,20,483,429,442,480,492
CR7,Studio,10,768,725,725,789,800
CR7,One Bedroom,20,947,875,900,925,"1,050"
CR7,Two Bedrooms,30,"1,189","1,135","1,200","1,250","1,300"
CR7,Three Bedrooms,30,"1,487","1,375","1,475","1,547","1,600"
CR7,Four or More Bedrooms,10,"1,910","1,750","1,750","1,850","1,900"
CR8,Room,10,535,517,517,517,592
CR8,Studio,20,761,700,725,800,818
CR8,One Bedroom,40,946,855,865,940,995
CR8,Two Bedrooms,70,"1,228","1,100","1,100","1,200","1,313"
CR8,Three Bedrooms,30,"1,487","1,400","1,400","1,550","1,600"
CR8,Four or More Bedrooms,30,"2,028","1,750","1,775","1,900","2,300"
CR9,Room,0,.,.,.,.,.
CR9,Studio,0,.,.,.,.,.
CR9,One Bedroom,0,.,.,.,.,.
CR9,Two Bedrooms,0,.,.,.,.,.
CR9,Three Bedrooms,0,.,.,.,.,.
CR9,Four or More Bedrooms,0,.,.,.,.,.
CR90,Room,0,.,.,.,.,.
CR90,Studio,0,.,.,.,.,.
CR90,One Bedroom,0,.,.,.,.,.
CR90,Two Bedrooms,0,.,.,.,.,.
CR90,Three Bedrooms,0,.,.,.,.,.
CR90,Four or More Bedrooms,0,.,.,.,.,.
DA1,Room,-,..,..,..,..,..
DA1,Studio,10,627,575,600,625,700
DA1,One Bedroom,60,792,700,750,780,900
DA1,Two Bedrooms,40,"1,053",950,950,"1,050","1,100"
DA1,Three Bedrooms,30,"1,179",970,995,"1,200","1,350"
DA1,Four or More Bedrooms,-,..,..,..,..,..
DA14,Room,10,393,392,392,392,392
DA14,Studio,-,..,..,..,..,..
DA14,One Bedroom,20,916,870,875,900,950
DA14,Two Bedrooms,60,"1,149","1,050","1,100","1,150","1,250"
DA14,Three Bedrooms,20,"1,331","1,275","1,275","1,298","1,450"
DA14,Four or More Bedrooms,10,"2,516","1,550","1,560","1,800","2,525"
DA15,Room,0,.,.,.,.,.
DA15,Studio,-,..,..,..,..,..
DA15,One Bedroom,20,936,850,850,950,"1,000"
DA15,Two Bedrooms,30,"1,207","1,100","1,150","1,200","1,350"
